Player,NBABPM,Height,Weight,Wingspan,G,MP,PTS,SOS,PER,TS%,eFG%,PProd,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,NCAABPM,Position_Big,Position_Point,Position_Wing
Brandon Knight,-1.6,6.27,177.0,6.56,38,35.9,17.3,8.91,19.3,0.553,0.508,652,6.3,23.4,1.1,0.6,16.8,27.0,0.157,5.5,0,1,0
Kemba Walker,2.9,6.08,184.0,6.29,111,32.9,16.1,9.39,25.7,0.539,0.475,1450,7.3,26.6,3.2,0.7,13.5,26.2,0.196,13.1,0,1,0
Jimmer Fredette,-2.5,6.17,195.0,6.45,139,29.6,18.7,3.56,30.7,0.596,0.535,1723,5.0,26.3,2.1,0.3,13.8,30.5,0.223,10.8,0,1,0
Klay Thompson,0.7,6.6,206.0,6.75,98,34.4,17.9,6.32,23.6,0.55,0.509,1250,8.7,20.3,2.6,2.7,15.3,31.9,0.159,9.8,0,0,1
Alec Burks,-0.9,6.5,193.0,6.83,68,30.9,19.0,6.65,27.8,0.592,0.522,1260,11.3,17.0,2.1,1.2,12.6,30.0,0.206,8.1,0,0,1
Markieff Morris,-1.4,6.77,241.0,6.9,109,19.3,8.5,7.92,25.7,0.603,0.583,733,17.7,10.9,1.7,4.8,18.4,21.8,0.208,10.3,1,0,0
Marcus Morris,-0.5,6.73,230.0,6.83,109,24.0,12.6,7.92,27.5,0.601,0.579,1029,14.6,10.2,1.9,1.8,13.1,24.5,0.232,10.9,0,0,1
Kawhi Leonard,6.8,6.58,227.0,7.25,70,31.9,14.1,5.29,25.0,0.513,0.473,1014,19.0,14.4,2.7,2.2,13.7,26.0,0.211,9.2,0,0,1
Nikola Vučević,2.3,6.98,260.0,7.38,87,27.7,11.1,7.86,24.2,0.571,0.535,884,17.7,10.1,1.0,4.4,13.3,22.7,0.199,9.4,1,0,0
Iman Shumpert,-1.7,6.46,222.0,6.79,92,31.3,12.7,7.34,19.9,0.503,0.453,854,7.9,26.5,4.3,0.6,19.5,23.9,0.135,9.6,0,0,1
Chris Singleton,-3.2,6.75,230.0,7.08,95,29.1,10.3,7.05,18.8,0.507,0.484,677,11.9,10.6,4.1,5.1,19.1,21.4,0.145,9.0,0,0,1
Tobias Harris,1.2,6.65,223.0,6.92,34,29.2,15.3,8.73,23.8,0.54,0.489,476,14.0,10.4,1.4,3.4,11.4,27.2,0.177,7.3,0,0,1
Kenneth Faried,0.5,6.63,225.0,7.0,136,29.1,14.8,-4.03,33.5,0.579,0.57,1125,25.8,6.0,3.3,8.5,14.9,26.1,0.245,8.5,1,0,0
Reggie Jackson,0.4,6.17,208.0,6.45,99,28.0,12.7,7.25,23.9,0.56,0.527,1037,9.2,26.8,1.6,1.6,15.3,24.8,0.156,9.8,0,1,0
MarShon Brooks,-1.6,6.44,195.0,7.08,113,25.3,14.4,7.44,25.8,0.559,0.526,1118,9.3,13.5,2.5,2.5,12.4,27.9,0.154,10.3,0,0,1
Jordan Hamilton,-0.1,6.71,228.0,6.79,70,26.2,14.5,7.67,23.3,0.538,0.516,928,11.7,14.2,1.8,1.8,11.7,27.7,0.205,11.4,0,0,1
Norris Cole,-4.1,6.15,174.0,6.19,140,29.4,14.1,1.92,25.6,0.539,0.48,1332,6.4,26.0,3.5,0.3,13.4,26.8,0.165,10.2,0,1,0
